      No     Day     Mon    Year  INConcob0000001  INConcsi0000001  INConcob0000002  INConcsi0000002  INConcob0000003  INConcsi0000003
     232      20       8    1997    -9999.0000000        4.4561892    -9999.0000000        0.6643048    -9999.0000000        0.6094031
     233      21       8    1997    -9999.0000000        4.4427157    -9999.0000000        0.6411106    -9999.0000000        0.5949030
     234      22       8    1997    -9999.0000000        4.4289807    -9999.0000000        0.6156406    -9999.0000000        0.5803067
     235      23       8    1997    -9999.0000000        4.4349340    -9999.0000000        0.6120366    -9999.0000000        0.5833830
     236      24       8    1997    -9999.0000000        4.4442876    -9999.0000000        0.5835751    -9999.0000000        0.5780442
     237      25       8    1997    -9999.0000000        4.4364445    -9999.0000000        0.5626222    -9999.0000000        0.5665285
     238      26       8    1997    -9999.0000000        4.0274268    -9999.0000000        0.6342232    -9999.0000000        0.5547196
     239      27       8    1997    -9999.0000000        4.2252690    -9999.0000000        0.6165867    -9999.0000000        0.5397119
     240      28       8    1997        6.2000000        4.3164564        0.9500000        0.7209767        0.6400000        0.5947785
     241      29       8    1997    -9999.0000000        4.5671595    -9999.0000000        0.6812999    -9999.0000000        0.5596301
     242      30       8    1997    -9999.0000000        4.5456635    -9999.0000000        0.6592309    -9999.0000000        0.5515952
     243      31       8    1997    -9999.0000000        4.5289241    -9999.0000000        0.6534017    -9999.0000000        0.5407073
     244       1       9    1997    -9999.0000000        4.5140487    -9999.0000000        0.6488485    -9999.0000000        0.5297690
     245       2       9    1997    -9999.0000000        4.5374957    -9999.0000000        0.6519646    -9999.0000000        0.5199777
     246       3       9    1997    -9999.0000000        4.5984945    -9999.0000000        0.6649421    -9999.0000000        0.5109322
     247       4       9    1997    -9999.0000000        4.6792409    -9999.0000000        0.6801467    -9999.0000000        0.5017505
     248       5       9    1997    -9999.0000000        4.7873630    -9999.0000000        0.7224262    -9999.0000000        0.5146373
     249       6       9    1997    -9999.0000000        4.8828298    -9999.0000000        0.7443194    -9999.0000000        0.4991645
     250       7       9    1997    -9999.0000000        4.9528001    -9999.0000000        0.7771854    -9999.0000000        0.4924179
     251       8       9    1997    -9999.0000000        5.0199969    -9999.0000000        0.8117021    -9999.0000000        0.4844452
     252       9       9    1997    -9999.0000000        5.0879219    -9999.0000000        0.8600233    -9999.0000000        0.4790232
     253      10       9    1997    -9999.0000000        5.1984486    -9999.0000000        0.9178242    -9999.0000000        0.4707196
     254      11       9    1997        6.6400000        5.3148739    -9999.0000000        0.9800966    -9999.0000000        0.4652798
     255      12       9    1997    -9999.0000000        5.4233177    -9999.0000000        1.0417699    -9999.0000000        0.4713253
     256      13       9    1997    -9999.0000000        5.5316273    -9999.0000000        1.0997476    -9999.0000000        0.4659395
     257      14       9    1997    -9999.0000000        5.6745610    -9999.0000000        1.1735131    -9999.0000000        0.4652313
     258      15       9    1997    -9999.0000000        5.7908248    -9999.0000000        1.2645770    -9999.0000000        0.4832973
     259      16       9    1997    -9999.0000000        5.9187332    -9999.0000000        1.3638747    -9999.0000000        0.5012482
     260      17       9    1997    -9999.0000000        6.0544980    -9999.0000000        1.4577464    -9999.0000000        0.5053627
     261      18       9    1997    -9999.0000000        6.1965751    -9999.0000000        1.5303925    -9999.0000000        0.4985622
     262      19       9    1997    -9999.0000000        6.3420003    -9999.0000000        1.6011346    -9999.0000000        0.4924447
     263      20       9    1997    -9999.0000000        6.4882521    -9999.0000000        1.6770520    -9999.0000000        0.4870592
     264      21       9    1997    -9999.0000000        6.6306677    -9999.0000000        1.7270633    -9999.0000000        0.4820817
     265      22       9    1997        6.6800000        6.7407279        0.7700000        1.7513316        0.5700000        0.4773936
